	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_Sperm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03445117119246325	0.019003013726384195	0.012242873660815175	0.05053413615592062	0.06442526958582603	0.017894836695651357	0.0054999550061536825	0.0	0.003257044106407618	0.0001753869775436382	0.0025244501194463184	0.0	0.059361277372692166	0.012190165519757596	0.0	0.3680530844579823	0.001120997931249658	0.0	0.0	0.0	0.0	0.0	0.006169124507352075	0.10774995533224507	0.0006018287282227807	0.002004346679106158	0.0	0.045094123246046794	0.1374147390265088	0.08164516450558183	0.008680127007553384	0.05909007906049679	0.007447499363108338
Aque_Unk_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03172566795402072	0.015093364179670244	0.015946240293276313	0.06850258902408404	0.04225294867338403	0.013471722092959293	0.004224697752659294	0.0	0.030251561357186783	0.05106396212087411	0.008337508526636103	0.002202017754756455	0.029772521700518688	0.027707848420870197	0.014134851850133006	0.02023815545112079	0.0048188794748114635	0.0	0.0011281194284465826	0.0015376006191935852	0.0	0.0	0.010547498447070506	0.04926103604653312	0.0030068492998991227	0.003021795720077386	0.00022389618140226914	0.04373769186981394	0.27134929596928126	0.036576075268731224	0.005991127983732051	0.026386966983568495	0.011472329051330674
Aque_Unk_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012463498551109583	0.010648753035674568	0.006782428328421519	0.018920190479123904	0.009003338218104421	0.01762885309985057	0.029586302496799277	0.0	0.007202971323916635	8.182719611242128e-05	0.00039476971920723885	0.0	0.027392537559879738	0.0008036142187576405	0.0	0.0010257766946793526	0.00014987021444916662	0.0	0.0	0.0	0.0	0.019348478080877016	0.0016279850210974916	0.017440964978579228	0.0	0.0010804382628873648	0.0	0.007805229229748516	0.004098884659518468	0.021606528990484992	0.023233943435132805	0.006477261543051839	0.005215506950327568
Scil_0	0.20970936770797413	0.34928927923899666	0.2572887457291573	0.002631505722741239	0.03918689178012712	0.6463712209600014	0.4515025903682389	0.45134313077463367	0.02077690668974898	0.022952032378368854	0.03445117119246325	0.03172566795402072	0.012463498551109583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_1	0.04338054878572086	0.032909413700728425	0.403816993916642	0.0022566561288720117	0.07354529121470214	0.628000396550705	0.7960030723191571	0.008785440554092678	0.03783914569689387	0.0196597874686049	0.019003013726384195	0.015093364179670244	0.010648753035674568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_10	0.14924891960748282	0.17373066889077476	0.1929291947755915	0.00010882230301575938	0.019722946683654756	0.4279442317615697	0.25858001936119424	0.16875427936506296	0.013761836592442424	0.008530709656726409	0.012242873660815175	0.015946240293276313	0.006782428328421519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_11	0.07248127597574541	0.1689880448736047	0.2809676982493424	0.002901588201890116	0.054708786009049215	0.15488109019574478	0.32902863898532014	0.00043069480294947164	0.08260241112119895	0.07354071231817098	0.05053413615592062	0.06850258902408404	0.018920190479123904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_12	0.07687259940673676	0.10901198876344412	0.2613016219776766	0.0013449275842733815	0.030166000541048538	0.3203426078505497	0.33601456422353565	0.10807186912552331	0.04652660280277782	0.019537641878791034	0.06442526958582603	0.04225294867338403	0.009003338218104421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_13	0.053694364263479996	0.0607203464744296	0.31686410849471436	0.0007529601388047085	0.03013075767467473	0.2654516641422567	0.3831451691913411	0.014502065951530644	0.03877677570076067	0.004423779093948417	0.017894836695651357	0.013471722092959293	0.01762885309985057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_14	0.05934069519404982	0.0771865281157694	0.08963983385320633	0.024231325630205795	0.03133006371998294	0.16654626462620079	0.2037554977598722	0.031061191159970847	0.032073441894644436	0.08184229397941105	0.0054999550061536825	0.004224697752659294	0.029586302496799277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_15	0.0	0.0	0.0	0.00033064852082120426	0.10057465382858428	0.0037408940533396376	0.002841083439514636	0.008556617367852367	0.8338647122819491	0.814855049693015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_16	0.03405448583380465	0.09295937893985365	0.11447388882220977	0.002514832596345511	0.03584117959711115	0.0846052225148127	0.3384938808232852	0.0003265055093032194	0.07025491583936262	0.03627994694620878	0.003257044106407618	0.030251561357186783	0.007202971323916635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_17	0.09373636334993109	0.24555711656954443	0.00453945330979785	0.0	0.0	0.005626419166933465	0.020275262904940673	0.0014172099513129403	0.23060207207053857	0.12387652565760718	0.0001753869775436382	0.05106396212087411	8.182719611242128e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_18	0.03454552539544374	0.032513826845170936	0.06701153546793069	0.0	0.017742446732659466	0.2558965203627338	0.23565130284912575	0.013356977032194628	0.0037149968338644895	0.007693175511927207	0.0025244501194463184	0.008337508526636103	0.00039476971920723885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_19	0.34167532762865366	0.01257133891993883	0.00895514838581429	0.0	0.0	0.0	0.0	0.0	0.042555928549202544	0.4225103565578466	0.0	0.002202017754756455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_2	0.1260908126534402	0.16273550711718227	0.4885454835465777	0.0034189391836791836	0.03384165928615531	0.5316813363149955	0.4207585580741927	0.29678133484653024	0.05226372521999282	0.02413189243338932	0.059361277372692166	0.029772521700518688	0.027392537559879738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_20	0.050563299527405146	0.06523748479572644	0.10778481185339342	0.00042090051998626714	0.01122166820690636	0.27038856914161064	0.3412519291862423	0.046615477121375044	0.008604461001683885	0.005621481192776275	0.012190165519757596	0.027707848420870197	0.0008036142187576405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_21	0.001985314629304702	0.004580179276157615	0.0	0.055753941519127034	0.039939526639476565	0.0023013688440793587	0.0	0.0	0.5123872621918479	0.0005976079866422461	0.0	0.014134851850133006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_22	0.042680507335847495	0.08664354802005589	0.03536288437987899	0.0005192521873552486	0.002346007612029475	0.13042640881834283	0.1161288086503297	0.03269105305192006	0.001839285287648703	0.00035879382524943226	0.3680530844579823	0.02023815545112079	0.0010257766946793526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_23	0.02983805405226627	0.02176172059851551	0.05812759108219538	0.00020034603729538573	0.01243299604138472	0.09027183931025928	0.20319501167527906	0.003192820925710114	0.005461968796416532	0.00680621621300412	0.001120997931249658	0.0048188794748114635	0.00014987021444916662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_24	0.5044999668191164	0.003282421238823811	0.00074277728986526	0.0	0.0	0.0	0.0	0.0	0.05890318468106877	0.3065677963567217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_25	0.006227925465367079	0.009707935456742298	0.0002439311065067648	0.0017195963548620398	0.02963274346360507	0.0	0.0003303322594746636	0.0011259124113088708	0.5032813605708569	0.03346823336852715	0.0	0.0011281194284465826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_26	0.009057035922682621	0.012525198192409636	0.0	0.005502877832833053	0.06835695859805149	0.00013446501043866836	0.0	6.416118728093205e-05	0.15538690269151423	0.010410094084104695	0.0	0.0015376006191935852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_27	0.3753124876433594	0.04321085264739105	0.0036734721359578094	0.0016826757039884478	0.0	0.00023908476465906266	0.0005574036451672458	0.0	0.04236324839345414	0.37278117981072384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_28	0.01952828725645355	0.004500238858645482	0.2557293213939954	0.0	0.00013986330109658934	0.0552625946433406	0.018789086556911132	0.0017754623791179098	0.011831905288235476	0.02737474644622271	0.0	0.0	0.019348478080877016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_29	0.0103506472147166	0.01635899271301068	0.06134994057877365	0.0001258292395835387	0.006337433300453474	0.057501858451308986	0.18296437844228997	0.006142557669914786	0.004385484368731983	0.00642641088746725	0.006169124507352075	0.010547498447070506	0.0016279850210974916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_3	0.1563512642519361	0.23285205353010613	0.4589724778295009	0.004465291365878004	0.0692417923734628	0.5161815265001622	0.49257559446861415	0.18731916891891312	0.04087894641467719	0.019221806310592955	0.10774995533224507	0.04926103604653312	0.017440964978579228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_30	0.05308747691459863	0.018093051016884097	0.00852762730438702	0.0012002731428559326	0.0114401560176068	0.008965052663833201	0.005364093742343979	0.0006775134436532162	0.25207048026426293	0.045218585557144704	0.0006018287282227807	0.0030068492998991227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_31	0.06250541410344881	0.04128301056765184	0.02929848103555997	0.0	0.0022937108223278495	0.07716324923842674	0.026592839831305597	0.026583628234489988	0.0014832989652144443	0.003476157882175325	0.002004346679106158	0.003021795720077386	0.0010804382628873648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_32	0.6542468786282765	0.36979007478326636	0.014222827322384607	0.0076180188871010175	0.0	0.007630463355166821	0.007458534899401782	0.0	0.01867068212829937	0.21021737554424194	0.0	0.00022389618140226914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_4	0.11569383174808841	0.12865273154500323	0.2651702047680406	0.0009485304390812287	0.01999528306264542	0.5402577346542339	0.33566615151615176	0.1506708745898142	0.020229916208070946	0.014978670125918586	0.045094123246046794	0.04373769186981394	0.007805229229748516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_5	0.21027945867548828	0.16703484321014503	0.3460271857024818	0.0007078611806131573	0.014469864465916143	0.12282749710526968	0.11501076119385116	0.27046375027169667	0.045475714191676134	0.05796194688375378	0.1374147390265088	0.27134929596928126	0.004098884659518468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_6	0.12338142056815689	0.1908812455193066	0.40040726164290463	0.004278091229073306	0.04595568261087346	0.42082512795181487	0.42177853954737915	0.10812046096244692	0.0419767819552483	0.029180767403925983	0.08164516450558183	0.036576075268731224	0.021606528990484992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_7	0.04988718641581468	0.15388039329007283	0.4355733968589835	0.005679363068006032	0.047786299819783065	0.23172297955699145	0.42773697126427734	0.01702840858915103	0.10734446378747445	0.01643513605384595	0.008680127007553384	0.005991127983732051	0.023233943435132805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_8	0.19186884681887761	0.13082071720337493	0.09257796299688649	0.0047778056558461564	0.019825371969348728	0.318084060761887	0.2230045613405837	0.10064494185909645	0.010882079185843878	0.024211295585537144	0.05909007906049679	0.026386966983568495	0.006477261543051839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_9	0.15717421218412125	0.2523430008483697	0.14884907391380853	0.0010320008874575798	0.022351070703026506	0.3616917047965631	0.29852180674567974	0.18285486133380707	0.013036835094531563	0.006393105152088119	0.007447499363108338	0.011472329051330674	0.005215506950327568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
