	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Scil_1	0.14827417390673575	0.1137872727711314	0.09331273583173559	0.0012437633366935582	0.02542444720423221	0.6365514035737501	0.7958383775544252	0.014614009971647024	0.014455038838779072	0.00477202808803912	0.027563829784159073	0.006382311346439545	0.006333052785639348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_10	0.698178224684803	0.16029149621322766	0.2258482093058114	0.003510413014264479	0.00458518089413281	0.08594543308142856	0.2905976823099217	0.07181080145204174	0.0269183884313361	0.012683168700058856	0.004773009829071775	0.010598472035071253	0.00718534592138563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_11	0.10508089047397555	0.17319951668076547	0.07920265395303513	0.0027221578957416018	0.01776923351316201	0.06712420260182449	0.5322551794067574	0.020210862209850508	0.029313572941354622	0.010574626847955544	0.015487978228716351	0.013279965574023878	0.015790428688850545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_12	0.32340778880039706	0.10811335842000244	0.12030226738548411	0.002540413160891662	0.010435429777305608	0.09364300480884111	0.3744538540865976	0.003945688211648343	0.017983102288658355	0.007451746673333916	0.03085638366731836	0.01662226824491543	0.012862819448665597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_13	0.22393393911699938	0.09523493932170042	0.11725642968434272	0.001997684466566255	0.009491295096204536	0.08113376591855945	0.42539084117525794	0.004654918964667311	0.0199800992571263	0.006981577696580229	0.00928744126018614	0.005059248240513659	0.004278789842401507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_14	0.26545316907198807	0.1418808741407316	0.02936708852243518	0.003076622000682659	0.008022390810608057	0.11622566410753357	0.23944862810481427	0.002655878817234057	0.028388342586198816	0.012210591542224817	0.0014657289963778224	0.0030582668459833754	0.011265207348037928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_15	0.007368303167230218	6.456728280468883e-05	0.0	0.02843447564516737	0.42412171915539726	0.014921535000296105	0.023818658168719736	0.00947998859591211	0.8505280761199078	0.7922512103121209	0.0	0.0	0.006065860209103626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_16	0.02448588038134395	0.024554478523095075	0.023534252316705903	0.0030470332600015426	0.006276906834609498	0.04657113307794172	0.5142106778670532	0.0004937134606489001	0.008605707069477369	0.0032054349678020642	0.018670782880089602	0.007288870411613675	0.00154236568902429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_17	0.045731558044451906	0.057648837379912166	0.1306823374561648	0.0017299008027746496	0.0023136434827922842	0.008991718096154434	0.029655243719017777	0.0	0.009450406066973872	0.046805502466825334	0.00043493663806068027	0.014572454569137819	0.00630952999272225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_18	0.19175623557759278	0.08494601043260971	0.10138492998756359	0.003028237211285564	0.006342771795165532	0.06770715382898906	0.3043594639281074	0.015859297495231125	0.009254387483095526	0.0046001469038892025	0.003062200294685001	0.004741734342484286	0.0003120471470587292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_19	0.30334964888625376	0.1605049062418481	0.020485857739984265	0.0044765227424696935	0.0	5.072762212321346e-05	0.004604680530480865	0.0	0.020761283926836765	0.2278648603448393	0.001477823686465147	0.010979041020759146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_2	0.6247434375770882	0.2906860053936908	0.17195064380112257	0.02254378198224683	0.024152309108844756	0.15555366924438951	0.46935775508120364	0.04340408803365819	0.09221577529531563	0.026531290887601734	0.01046453821826723	0.010046950238639633	0.011621528020083798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_20	0.25477468122954466	0.05633762113790717	0.059782098440964535	0.001872128831288056	0.004321299485320876	0.0713244351125685	0.40060161282584505	0.0139490396742455	0.013304435290657968	0.0026553427693152875	0.013613020856979751	0.008829716347625074	0.00034809016668616293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_21	0.003391158700408215	0.012940589105953148	0.00020552245517890458	0.03888062164473872	0.05065562820942392	0.00831662209410061	0.0020654883251375383	0.0	0.4675378669626289	0.01888731999662487	0.0	0.0	0.0030749839384267945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_22	0.05429598092149203	0.04764396812958196	0.053251240373787444	0.00035134681640434294	0.002183040477773435	0.017415581167494056	0.10951691430905686	0.028763133001960716	0.005082339287125957	0.0017410521219748821	0.20584163693790697	0.0019314892310948483	0.0008532924525021315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_23	0.07937509498712499	0.04916851639449373	0.09351132636901195	0.0013163124392694195	0.0025493258087465652	0.037519217325271706	0.3166590219623495	0.0036454398211352803	0.005363176578980184	0.001601042756580622	0.0009823037530268988	0.005082456695220046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_24	0.2191634810556789	0.0942825922106055	0.004212197728344898	0.0009687259372062431	0.0	4.890611483347808e-05	0.0	0.0	0.05542061032577065	0.33041116242426616	0.0	0.00026579925509820216	0.0001996294595194184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_25	0.001046042526815514	0.0023313810218846607	0.0009672599725259114	0.002931933731142987	0.3303472844755361	0.0428048920058856	0.05438914414742636	0.0	0.019714388736496204	0.007901270944913035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_26	0.01335867597061215	0.04933463551767937	9.030314435636338e-05	0.002128050198725042	0.021392271574554124	0.03548592422201387	0.06541829808228396	0.0	0.06864768249583082	0.01870531121038509	0.0	0.0003192249065582706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_27	0.2424436723761844	0.05828825223813987	0.008440870451893814	0.00013326390252132035	0.0	0.0	0.0008095685861441574	0.0	0.02195270179642328	0.213631095650894	0.0	0.0004980642503169986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_28	0.018982427417222378	0.015125256615669344	0.05281510622534937	0.0009341686702461561	0.0008163538860621322	0.013553275769627796	0.1361959147221316	0.002498988034503045	0.002054132014551918	0.0009823423167925193	0.0	0.00040043404208790886	0.0008108816302967581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_29	0.009032844709160414	0.04326800578388991	0.018403640188888907	0.00036979304573919866	0.0014027766663212795	0.013686778158911719	0.2433453827644318	0.0013595978424073862	0.003536328181479851	0.003549064797904728	0.011518361091938453	0.008914502926732057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_3	0.6598019091758152	0.22116954156033813	0.2621378156612238	0.002601573686044095	0.019734691369081722	0.15865575701540394	0.4664967050197862	0.03284086412243499	0.03721054656871021	0.0216105026184183	0.029398766307119552	0.027936146405991142	0.03448076453506304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_30	0.03255102969796512	0.0166088092368995	0.006704152449480973	0.0045547145749636015	0.10308842290884321	0.009443396551930616	0.07703711584242948	0.0042228399636761674	0.1897015726049446	0.1334619534145866	0.0005320571040392668	0.0003101410956638011	0.007656595453753108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_31	0.24390803509151096	0.0509681202492132	0.019936867013353197	0.00025103163277130386	0.0	0.007860989437084274	0.02649629040473699	0.000887383763580616	0.0030792423215047693	0.0005103450627249732	0.002608207570874334	0.01038876351632161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_32	0.5484783822916931	0.036846717299292335	0.015347408437852489	0.0	0.0	0.0	0.0013287323820251914	0.0	0.0	0.011491682308061113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_4	0.6860770799325523	0.16960490065506278	0.28776593484468227	0.0062291096085933615	0.013459384361672678	0.08695738147462967	0.37821625575276496	0.00398230959620393	0.03401742572699905	0.018004433384033167	0.015490800852408027	0.04249420375330258	0.009917594255275103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_5	0.8633085705225177	0.32200068179290403	0.09001571272577603	0.018529818696381106	0.004282014613800129	0.043564561451855124	0.17286649500065482	0.05684871329298187	0.01508605438195173	0.04141374302337885	0.09860886895306945	0.15143595380716807	0.0025635837898247233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_6	0.3738361450491348	0.1452846813850972	0.06783234702167193	0.008029400972040902	0.018388881266160072	0.05672213846442734	0.48657827833790435	0.021266505696011042	0.05014768514687311	0.016714418287258302	0.037506552263121655	0.020567160904472588	0.005368458613792157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_7	0.24162156427121245	0.19759939740890062	0.1122660826510405	0.008350652771344351	0.02931873567359585	0.13306347025441928	0.4428131040808543	0.0019380464397963666	0.115307561981003	0.019842697678546982	0.00932067130955129	0.0029607597531161505	0.012198447885104099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_8	0.6670548111547189	0.14770307235664168	0.11599413152394353	0.005357623424894855	0.0077510811023631665	0.06543383492763803	0.2712495842779511	0.01738268133239193	0.03292175894543907	0.014664413410773583	0.04042230370937076	0.01754271771875666	0.005648298475862231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scil_9	0.5291285577266316	0.2381678423706294	0.15942731581424358	0.005195227107083387	0.007487947180439431	0.06968635442037388	0.38960158721435023	0.0747768679876488	0.03901217979276113	0.007750256075057603	0.007736411689566765	0.009626431546760322	0.006406769095844071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
